interviewed,hired,appdate,age,sex,residence,GPA.u,GPA.g,MA,substitute,teaching,experience,workkids,volunteer,agegroup
no,no,6/17/04,48,Female,2,3.09,N/A,no,no,yes,21,no,no,older
no,no,7/21/04,48,Female,2,3.7,N/A,no,yes,yes,16,no,no,older
no,no,4/29/03,51,Male,2,2.66,3.47,yes,yes,yes,1,no,no,older
no,no,7/8/03,50,Female,2,2.87,3.78,yes,yes,yes,0,no,no,older
no,no,8/25/03,54,Male,2,2.56,3.67,no,no,yes,16,no,no,older
no,no,4/30/03,44,Female,2,3.95,N/A,yes,no,yes,16,no,no,older
no,no,8/20/03,51,Female,2,3.67,N/A,no,no,yes,28,no,no,older
no,no,5/27/04,42,Female,2,3.21,N/A,no,no,yes,16,no,no,older
no,no,7/18/03,40,Female,2,3.61,3.67,yes,no,yes,13,yes,no,older
no,no,3/3/04,54,Female,3,N/A,3.56,yes,no,no,0,no,no,older
no,no,7/26/04,42,Female,2,N/A,N/A,yes,yes,yes,2,yes,no,older
no,no,8/23/04,46,Female,2,2.73,3.52,yes,no,yes,21,yes,no,older
no,no,3/14/04,41,Female,2,N/A,N/A,yes,yes,yes,13,no,no,older
no,no,6/28/03,48,Male,2,2.28,3.34,yes,no,yes,0,no,no,older
no,no,5/3/03,55,Female,3,N/A,N/A,yes,no,no,2,no,no,older
no,no,1/13/04,41,Female,2,3.55,4,yes,no,yes,12,no,no,older
no,no,8/25/03,58,Female,2,N/A,N/A,yes,no,no,0,no,no,older
no,no,3/18/03,48,Female,2,3.48,N/A,no,yes,yes,12,no,no,older
no,no,7/25/03,48,Female,3,N/A,N/A,yes,no,yes,0,no,no,older
no,no,4/16/03,52,Female,2,N/A,3.88,yes,no,yes,28,no,no,older
no,no,6/22/04,49,Male,1,3.7,N/A,yes,yes,yes,18,no,no,older
no,no,4/3/03,45,Female,2,3.11,3.98,yes,no,yes,10,no,no,older
no,no,8/1/02,58,Female,2,3.16,3.75,yes,no,yes,12,no,no,older
no,no,7/28/03,58,Female,4,3.54,3.58,yes,no,no,0,no,no,older
no,no,7/1/03,52,Female,2,3.69,N/A,no,no,no,4,yes,yes,older
no,no,2/11/04,53,Female,2,N/A,N/A,no,no,yes,29,no,no,older
no,no,5/10/01,49,Female,2,3.13,3.91,yes,no,yes,24,yes,no,older
no,no,6/4/04,41,Male,2,3.54,N/A,no,yes,yes,17,no,no,older
no,no,6/27/04,45,Male,3,N/A,3.75,no,no,no,14,no,no,older
no,no,6/30/04,40,Female,2,2.93,3.85,yes,no,yes,12,yes,yes,older
no,no,3/3/04,41,Female,2,3.63,N/A,no,yes,yes,5,no,no,older
no,no,6/16/04,42,Female,2,N/A,3.85,no,no,yes,2,no,no,older
no,no,1/22/04,41,Female,2,3.75,N/A,no,no,yes,0,no,no,older
no,no,2/27/04,49,Female,2,3.57,N/A,no,no,yes,0,no,no,older
no,no,4/18/03,52,Female,2,2.73,4.07,yes,yes,yes,0,no,no,older
no,no,8/17/04,53,Female,2,3.33,N/A,no,no,yes,11,no,no,older
no,no,2/5/03,58,Female,2,3.08,N/A,yes,no,no,16,no,no,older
no,no,4/30/04,44,Female,2,3.86,N/A,no,no,yes,20,yes,no,older
no,no,7/18/03,45,Female,2,2.94,3.89,yes,no,yes,5,no,no,older
no,no,8/4/03,NA,Female,1,N/A,N/A,yes,no,yes,2,no,no,NA
no,no,5/15/04,53,Female,2,2.09,N/A,no,no,no,0,no,no,older
no,no,5/15/03,54,Female,3,3.03,3.29,no,no,yes,10,no,no,older
no,no,5/25/04,44,Female,2,N/A,N/A,pending,no,yes,12,no,no,older
no,no,6/15/04,43,Female,2,3.22,3.97,yes,no,yes,0,no,no,older
no,no,5/18/03,52,Female,2,N/A,N/A,no,no,yes,25,no,no,older
no,no,4/5/04,44,Female,2,N/A,N/A,yes,yes,yes,0,no,no,older
no,no,9/2/03,55,Female,2,N/A,N/A,yes,no,yes,18,no,no,older
no,no,3/24/03,45,Female,2,3.73,N/A,pending,no,yes,4,no,no,older
no,no,2/19/04,47,Female,2,N/A,3.94,yes,no,yes,22,no,no,older
no,no,1/28/03,51,Female,2,N/A,N/A,no,no,no,1,yes,no,older
no,no,3/24/03,47,Female,2,3.91,N/A,no,no,yes,30,no,no,older
no,no,6/13/04,46,Female,2,2.96,4,yes,no,yes,4,yes,no,older
no,no,3/30/04,54,Female,2,2.51,N/A,pending,no,yes,25,yes,no,older
no,no,9/17/02,45,Male,2,3.25,3.79,yes,no,yes,14,no,no,older
no,no,4/29/04,42,Female,2,3.28,3.92,yes,no,yes,20,no,no,older
no,no,7/2/03,42,Female,2,2.79,4,yes,yes,yes,7,no,no,older
no,no,5/11/03,40,Female,2,3.13,3.9,yes,no,yes,0,no,no,older
no,no,5/18/04,46,Male,2,3.52,N/A,no,no,yes,2,yes,no,older
no,no,5/5/04,NA,Female,2,N/A,N/A,no,no,yes,18,no,no,NA
no,no,3/20/04,50,Male,2,3.2,3.8,yes,no,yes,25,no,no,older
no,no,8/1/04,45,Female,2,3.6,3.82,yes ,yes,yes,15,yes,no,older
no,no,8/18/03,59,Female,2,3.39,N/A,pending,no,yes,40,yes,no,older
no,no,10/31/03,40,Female,2,2.41,3.93,yes,yes,yes,10,yes,no,older
no,no,6/22/03,NA,Female,2,N/A,N/A,no,no,yes,12,no,no,NA
no,no,12/27/01,46,Female,2,2.96,3.49,yes,no,yes,6,no,no,older
no,no,6/30/03,45,Female,2,3.58,3.93,yes,no,yes,20,no,no,older
no,no,7/24/03,58,Male,2,N/A,3.57,yes,no,no,25,no,no,older
no,no,6/24/03,54,Female,2,N/A,N/A,yes,yes,yes,1,no,no,older
no,no,4/27/04,54,Male,2,N/A,N/A,no,no,no,4,no,no,older
no,no,3/24/03,49,Female,2,N/A,3.61,yes,no,yes,5,no,no,older
no,no,6/13/03,50,Female,2,2.28,3.97,yes,yes,yes,24,no,no,older
no,no,7/14/03,44,Female,2,3.95,N/A,yes,yes,yes,16,no,no,older
no,no,4/30/03,54,Male,3,N/A,N/A,no,no,no,23,no,no,older
no,no,6/28/04,47,Female,2,3.77,N/A,no,no,yes,2,no,no,older
no,no,6/22/04,46,Female,2,3.76,3,yes,no,no,0,no,no,older
no,no,4/24/04,50,Male,2,3.56,3.9,yes,no,yes,16,no,no,older
no,no,7/29/02,36,Male,2,2.7,N/A,yes,no,yes,2,yes,no,younger
no,no,4/15/03,24,Female,3,3.16,N/A,pending,no,yes,3,yes,no,younger
no,no,7/1/04,25,Female,2,2.59,3.78,yes,yes,yes,6,yes,no,younger
no,no,5/12/01,35,Male,1,N/A,3.85,yes,yes,yes,16,no,no,younger
no,no,7/9/04,26,Female,1,2.51,N/A,pending,yes,yes,4,yes,no,younger
no,no,7/28/04,25,Male,2,3.36,N/A,no,no,yes,8,yes,no,younger
no,no,3/24/03,24,Female,2,2.86,N/A,pending,no,yes,4,yes,no,younger
no,no,3/15/03,25,Female,2,2.7,3.7,yes,no,yes,0,no,no,younger
